Name,ID_SRC,ID_hard,RA_1,DEC_1,RA_CORR,DEC_CORR,ML_FLUX,ML_FLUX_ERR,clust_ID,clus_ID_SRC,clus_RA,clust_DEC,source_id,ra_2,dec_2,separation_2,matches,GroupID,GroupSize,Separation
eFEDS J091427.7+010730,30166,-99,138.6156535685262,1.125081600141236,138.61559527745766,1.1250358620807883,1.1141563E-14,4.007995E-15,eFEDS J091431.6+010910,4637,138.63180541992188,1.1528141498565674,3843457415899140864,138.63340759277344,1.1534518003463745,6.195739269256592,2,19,2,115.77782293290986
eFEDS J090602.1+002419,3548,-99,136.50924254707033,0.4053605378715871,136.50914112142198,0.40533199314762686,3.9994968E-14,6.319144E-15,eFEDS J090553.5+002244,5170,136.4732208251953,0.379073828458786,3843135125848716672,136.54664611816406,0.35989895462989807,273.23455810546875,3,15,5,160.17768709661712
eFEDS J090545.1+002452,3858,-99,136.43833282074291,0.4146975089034126,136.43823195469048,0.4146687411295888,3.2049213E-14,5.6045426E-15,eFEDS J090553.5+002244,5170,136.4732208251953,0.379073828458786,3843135125848716672,136.54664611816406,0.35989895462989807,273.23455810546875,3,15,5,179.68148147764126
eFEDS J090543.6+002604,3859,-99,136.43209877967763,0.43457855256832145,136.4319991051582,0.4345493098584545,2.236432E-14,4.8715097E-15,eFEDS J090553.5+002244,5170,136.4732208251953,0.379073828458786,3843135125848716672,136.54664611816406,0.35989895462989807,273.23455810546875,3,15,5,248.80853652301604
eFEDS J090553.5+002244,5170,-99,136.4733187024859,0.3791017564825797,136.47321570305326,0.3790738390517304,7.2570144E-14,1.0024948E-14,eFEDS J090553.5+002244,5170,136.4732208251953,0.379073828458786,3843135125848716672,136.54664611816406,0.35989895462989807,273.23455810546875,3,15,5,0.018439347226857344
eFEDS J090601.1+002022,12692,-99,136.50499046262013,0.3396638481636327,136.50488509950713,0.33963687286059324,1.9986049E-14,5.089158E-15,eFEDS J090553.5+002244,5170,136.4732208251953,0.379073828458786,3843135125848716672,136.54664611816406,0.35989895462989807,273.23455810546875,3,15,5,182.0710545499414
eFEDS J091115.0-015005,3302,-99,137.81301260318753,-1.8348553122652205,137.81277677066387,-1.8348303407216497,4.170968E-14,5.868396E-15,eFEDS J091108.0-015422,5376,137.7836456298828,-1.906282901763916,3841603815389005568,137.78086853027344,-1.8971433639526367,34.376991271972656,5,14,7,277.76484770329523
eFEDS J091104.4-015334,5375,-99,137.7685934114031,-1.892952795029741,137.7683540865744,-1.8929264356018596,2.18033E-14,4.571935E-15,eFEDS J091108.0-015422,5376,137.7836456298828,-1.906282901763916,3841603815389005568,137.78086853027344,-1.8971433639526367,34.376991271972656,5,14,7,73.0693187627713
eFEDS J091108.0-015422,5376,-99,137.78388275484116,-1.9063095485642778,137.78364262705549,-1.9062828700583954,3.4660683E-14,7.093781E-15,eFEDS J091108.0-015422,5376,137.7836456298828,-1.906282901763916,3841603815389005568,137.78086853027344,-1.8971433639526367,34.376991271972656,5,14,7,0.010804798618831364
eFEDS J091110.7-015129,13320,-99,137.7951704802664,-1.8582644509063886,137.79493324065015,-1.8582389201445058,1.5001641E-14,3.829376E-15,eFEDS J091108.0-015422,5376,137.7836456298828,-1.906282901763916,3841603815389005568,137.78086853027344,-1.8971433639526367,34.376991271972656,5,14,7,177.66271233225473
eFEDS J091055.7-015158,18462,-99,137.73233078425,-1.8663484207950423,137.7320930586991,-1.866322696916101,1.214252E-14,3.4754727E-15,eFEDS J091108.0-015422,5376,137.7836456298828,-1.906282901763916,3841603815389005568,137.78086853027344,-1.8971433639526367,34.376991271972656,5,14,7,234.73562334193716
eFEDS J091054.2-015505,25645,-99,137.72609753269242,-1.9182731156263773,137.72585668568118,-1.9182461513241706,8.374092E-15,3.0420212E-15,eFEDS J091108.0-015422,5376,137.7836456298828,-1.906282901763916,3841603815389005568,137.78086853027344,-1.8971433639526367,34.376991271972656,5,14,7,212.3378391638736
eFEDS J091114.0-015401,26389,-99,137.80859475907815,-1.900402514903319,137.8083549864039,-1.9003759775099074,6.8270754E-15,2.6655142E-15,eFEDS J091108.0-015422,5376,137.7836456298828,-1.906282901763916,3841603815389005568,137.78086853027344,-1.8971433639526367,34.376991271972656,5,14,7,91.41239634796938
eFEDS J084011.6+034837,5544,-99,130.04864418889696,3.810460227705539,130.0487471101187,3.8103503389334326,5.4057863E-14,9.088375E-15,eFEDS J084011.6+034837,5544,130.0487518310547,3.8103504180908203,3080151636166634752,129.98983764648438,3.758596897125244,281.9441223144531,2,20,4,0.016960195046453186
eFEDS J083959.8+034945,11023,-99,129.9994248284429,3.829362784539208,129.99952888757053,3.8292524442060216,1.7306376E-14,4.375769E-15,eFEDS J084011.6+034837,5544,130.0487518310547,3.8103504180908203,3080151636166634752,129.98983764648438,3.758596897125244,281.9441223144531,2,20,4,189.45140752507493
eFEDS J084016.7+035043,22631,-99,130.06966020653024,3.845421983079555,130.0697652324462,3.8453112591099594,1.01702314E-14,3.6217104E-15,eFEDS J084011.6+034837,5544,130.0487518310547,3.8103504180908203,3080151636166634752,129.98983764648438,3.758596897125244,281.9441223144531,2,20,4,146.7571035422736
eFEDS J084025.2+034845,22657,-99,130.10526782614332,3.812843539246394,130.1053708908335,3.8127335935396234,1.126096E-14,3.7315295E-15,eFEDS J084011.6+034837,5544,130.0487518310547,3.8103504180908203,3080151636166634752,129.98983764648438,3.758596897125244,281.9441223144531,2,20,4,203.55864608735504
